assignee,assignees,body,closed_at,comments,created_at,created_by,id,labels,milestone_closed_at,milestone_created_at,milestone_due_on,milestone_id,milestone_number,milestone_updated_at,number,state,team,title,updated_at
user2,['user2'],"voiceSave()---->Database 
searchVoice()------>Database 
Find compare and take action",,2,2017-02-23T22:32:19Z,user2,209904765,,,,,,,,20,open,team1,Database work ,2017-02-26T23:06:48Z
user3,['user3'],"Clean up means:
""make pretty"" like add pictures and nice gradients.
fix datepicker***** need to do.
will add other mistakes that need addressing later.


",,2,2017-02-23T09:49:26Z,user3,209712036,,,,,,,,19,open,team1,Need to go back and clean up Engagement implementation,2017-02-28T11:09:15Z
user3,['user3'],Need to learn how to add database through NetBeans and migrate it to GitHub.,2017-03-01T01:02:34Z,6,2017-02-23T09:46:03Z,user3,209711224,,,2017-02-07T21:55:14Z,2017-02-28T08:00:00Z,2307047.0,9.0,2017-03-01T01:02:34Z,18,closed,team1,Add Database-Finish Implementation(Engagement),2017-03-01T01:02:34Z
,,"Same as Design phase 2
- Save attendance checks to DB
- View attendance by date",2017-03-08T03:22:39Z,1,2017-02-22T02:46:22Z,user1,209336531,,,2017-02-16T19:58:12Z,2017-02-24T08:00:00Z,2328351.0,11.0,2017-03-08T03:24:21Z,17,closed,team1,FR Impl #4 : Add Database,2017-03-08T03:22:39Z
,,"- Photo capturing done in Impl 1
- Base64 encoding, Kairos API call and response parse done in Impl 2
- Focus of this issue:
    - Structure app properly. Include user name for enrollment
    - Handle corner cases. Especially with response JSON parsing",2017-02-22T02:47:47Z,1,2017-02-19T01:21:12Z,user1,208685411,,,2017-02-16T19:58:12Z,2017-02-24T08:00:00Z,2328351.0,11.0,2017-03-08T03:24:21Z,16,closed,team1,FR Impl #3 : Refinement of Impl #1 and #2,2017-02-22T02:47:47Z
,,"- Encode bitmap image to Base64 string
- Create required HTTP Post request
- Call and parse response",2017-02-19T01:24:13Z,1,2017-02-19T01:18:39Z,user1,208685279,,,2017-02-16T19:58:12Z,2017-02-24T08:00:00Z,2328351.0,11.0,2017-03-08T03:24:21Z,15,closed,team1,FR Impl #2 : Base64 and Kairos,2017-02-19T01:24:13Z
user1,['user1'],"__Implement attendance recording__
- Save attendance checks to DB
- View attendance for a particular date",,0,2017-02-19T01:16:18Z,user1,208685141,,,2017-02-07T21:55:14Z,2017-02-28T08:00:00Z,2307047.0,9.0,2017-03-01T01:02:34Z,14,open,team1,Design - Face recog : Phase 2,2017-02-22T02:45:12Z
,,"- Implement core features
- Enrollment and verification/recognition",2017-02-19T00:52:42Z,1,2017-02-19T00:52:00Z,user1,208684051,,,2017-02-07T21:55:14Z,2017-02-28T08:00:00Z,2307047.0,9.0,2017-03-01T01:02:34Z,13,closed,team1,Design - Face Recog - Phase 1,2017-02-19T00:52:42Z
user1,['user1'],"- Familiarity with Android framework
- Assignee : Karan",2017-02-19T00:46:32Z,1,2017-02-19T00:43:30Z,user1,208683696,,,2017-02-07T00:12:51Z,2017-02-10T08:00:00Z,2304449.0,5.0,2017-02-23T22:38:35Z,12,closed,team1,Learning Android,2017-02-19T00:46:32Z
user1,['user1'],"- Simple picture capturing in Android
- Will be followed by Base64 encoding",2017-02-19T01:21:44Z,1,2017-02-16T20:00:33Z,user1,208229269,,,2017-02-16T19:58:12Z,2017-02-24T08:00:00Z,2328351.0,11.0,2017-03-08T03:24:21Z,11,closed,team1,FR Impl #1 : Picture capturing,2017-02-19T01:21:44Z
user1,['user1'],"Designing in several phases.

__Design Phase One : Core functionality__
- Main activity with 2 options : enroll and verify
- Respective activities with image capturing
- In the backend, they encode the image and call the Kairos API, print success/failure
- No class segregation, no user accounts, no DB

- Subsequent phases will have the unimplemented features mentioned in the last line above
- Order of implementation for now seems to be:
    - DB : no point of app w/o this. there needs to be record keeping. Simple attendance for each day.
    - Class segregation : Attendance as per different classes. Simulates real world
    - User accounts : Least important from project point of view. Will involve user registering on Kairos and entering app ID/key during registration. Unless we use the same ID/key. this step should make it real world ready with security and what not.",2017-02-19T01:16:59Z,1,2017-02-16T19:52:19Z,user1,208227136,,,2017-02-07T21:55:14Z,2017-02-28T08:00:00Z,2307047.0,9.0,2017-03-01T01:02:34Z,10,closed,team1,Design - Face recognition,2017-02-19T01:16:59Z
user1,['user1'],"__KAIROS__
- REST based API
    - Tested it to ""enroll"" a subject by providing the image url
    - Tested it to ""verify"" the subject by providing a different image url(but ofcourse, of the same subject)
    - Image can also be encoded and provided locally
- Extremely simple to use(haven't explored Google in details because of the ongoing Android learning)
- API seems good to go. Will only need to implement photo capturing in app and then use API from there",2017-02-19T00:42:31Z,1,2017-02-15T03:26:42Z,user1,207699421,,,2017-02-07T21:52:33Z,2017-02-13T08:00:00Z,2307042.0,7.0,2017-02-19T00:42:31Z,9,closed,team1,Alternatives to Google,2017-02-19T00:42:31Z
,,Research about the voice API. ,2017-02-23T22:38:35Z,4,2017-02-07T22:05:21Z,user2,206030690,[u'help wanted'],,,,,,,8,closed,team1,Understanding the voice recognition API,2017-02-23T22:38:35Z
user1,"['user1', 'user3']",The team will review android development and get ourselves introduced to the general know-how of android development platform. ,2017-02-23T22:38:35Z,1,2017-02-07T22:04:16Z,user2,206030415,[u'help wanted'],,,,,,,7,closed,team1,Reviewing Android ,2017-02-23T22:38:35Z
user1,"['user1', 'user3', 'user2']","1. Coming up with plan for Project 2.
2. Any ideas?
3. Any magic?
4. What amazing things we can do with our projects?
5. Anything else :)",2017-02-23T22:38:35Z,4,2017-02-04T04:45:50Z,user2,205322999,"[u'enhancement', u'help wanted']",,2017-02-07T00:12:51Z,2017-02-10T08:00:00Z,2304449.0,5.0,2017-02-23T22:38:35Z,6,closed,team1,Brainstorming for Feb SE Project,2017-02-23T22:38:35Z
effat,['effat'],"[Chits.txt](https://github.com/karanjadhav2508/kqsse17/files/746607/Chits.txt)
",,1,2017-02-02T01:18:29Z,user3,204756185,,,,,,,,5,open,team1,Missing Chit numbers,2017-02-09T16:45:01Z
,,"- Discussion on the ""heavy"" sections of the report
- Division of section among team members",2017-02-07T00:11:06Z,1,2017-01-30T22:11:37Z,user1,204145549,,,,,,,,4,closed,team1,Report writing : Jan deliverable,2017-02-07T00:11:06Z
,,"- different simulations such as escortee, paper sign-in, electronic sign-in
- observe data related to all of these
- also have questionnaires for all simulation participants as a double check
- questionnaires for industry experts",2017-02-07T00:09:34Z,2,2017-01-17T23:16:36Z,user1,201434357,,,,,,,,3,closed,team1,User testing/survey,2017-02-07T00:09:34Z
,,,2017-02-07T00:08:44Z,4,2017-01-17T23:12:33Z,user1,201433562,,,,,,,,2,closed,team1,Literature review,2017-02-07T00:08:44Z
,,"## Visitor management
- Improper/incomplete logging in and out of visitors in different places : libraries, residence halls, organizations
- varying consequences : insufficient visibility/tracking of visitors, security compromise
- white house also has this [problem](https://www.publicintegrity.org/2011/04/13/4115/white-house-visitor-logs-riddled-holes)
- [literature review](https://scholar.google.com/scholar?q=visitor+logging&btnG=&hl=en&as_sdt=0%2C34&oq=visitor+) in progress",2017-01-26T21:58:36Z,3,2017-01-17T23:07:15Z,user1,201432514,,,,,,,,1,closed,team1,Problem selection,2017-01-26T21:58:36Z
,,,2017-03-26T18:06:32Z,0,2017-03-26T17:57:05Z,user1,217072446,,,,,,,,88,closed,team2,Features and bug fixes,2017-03-26T18:06:32Z
user1,"['user1', 'user3', 'user2']",We need to have a meeting to discuss how we want to conduct the user evaluation. Let me know what you guys think,2017-04-13T20:14:13Z,5,2017-03-20T18:08:55Z,user3,215508340,"[u'mediumpriority', u'question']",,2017-03-08T18:42:48Z,2017-03-31T07:00:00Z,2372495.0,9.0,2017-04-13T20:14:13Z,87,closed,team2,User eval,2017-04-13T20:14:13Z
user1,['user1'],"- Remove rogue toast notifications
- open confirmation links in app
- streamline ui - remove excess buttons ",2017-03-13T04:57:49Z,1,2017-03-13T02:24:25Z,user1,213658025,,,2017-03-08T18:40:37Z,2017-03-20T07:00:00Z,2372491.0,8.0,2017-04-13T20:15:09Z,86,closed,team2,Bug fixes and more Features,2017-03-13T04:57:49Z
user1,['user1'],"When Internet connection is faulty, app crashes. This is handled at time of username/password login, but not handled at:
- Registration
- Magic link
- Confirmation link
- Voice enrollment
- Voice verification",2017-04-13T20:13:40Z,3,2017-03-09T03:22:05Z,user1,212924761,[u'bug'],,2017-03-08T18:40:37Z,2017-03-20T07:00:00Z,2372491.0,8.0,2017-04-13T20:15:09Z,85,closed,team2,No Internet Connection App Crash,2017-04-13T20:13:41Z
user1,"['user1', 'user2']",,2017-04-13T20:14:33Z,3,2017-03-09T00:27:45Z,user1,212899774,[u'mediumpriority'],,2017-03-08T18:40:37Z,2017-03-20T07:00:00Z,2372491.0,8.0,2017-04-13T20:15:09Z,84,closed,team2,Confirmation mail doesn't open inside the app,2017-04-13T20:14:33Z
user1,['user1'],"Remove
- [x] Occurs when after registering redirected to login activity. 
- [x] another while magic link login",2017-03-09T01:02:02Z,0,2017-03-08T23:32:58Z,user1,212889709,"[u'bug', u'urgent']",,2017-03-08T18:40:37Z,2017-03-20T07:00:00Z,2372491.0,8.0,2017-04-13T20:15:09Z,83,closed,team2,Rogue toast notification after registering ,2017-03-09T01:02:02Z
user1,['user1'],"3 instances
- in the login screen, 3 options
- in the voice enrollment screen
- in voice verify screen. ",2017-03-09T03:19:33Z,1,2017-03-08T23:29:49Z,user1,212889123,"[u'UI', u'urgent']",,2017-03-08T18:40:37Z,2017-03-20T07:00:00Z,2372491.0,8.0,2017-04-13T20:15:09Z,82,closed,team2,Disable button which shouldn't be pressed ,2017-03-09T03:20:10Z
,,,2017-03-08T04:27:23Z,0,2017-03-08T04:24:38Z,user1,212634453,,,,,,,,81,closed,team2,Sid,2017-03-08T04:27:23Z
,,,2017-03-08T04:03:58Z,0,2017-03-08T04:02:57Z,user1,212632023,,,,,,,,80,closed,team2,Sid,2017-03-08T04:03:58Z
user1,['user1'],,2017-04-13T20:14:50Z,2,2017-03-08T03:58:29Z,user1,212631523,"[u'enhancement', u'mediumpriority']",,,,,,,79,closed,team2,App icon and logo,2017-04-13T20:14:50Z
,,"- Major UI changes
- Major Testing changes
- Deployment changes",2017-03-08T02:46:36Z,0,2017-03-08T02:46:04Z,user1,212622417,,,,,,,,78,closed,team2,Onwards to version 2,2017-03-08T02:46:36Z
,,,2017-03-07T22:49:13Z,0,2017-03-07T22:49:08Z,user2,212583888,,,,,,,,77,closed,team2,low res screenshots,2017-03-07T22:49:13Z
,,,2017-03-07T22:42:09Z,0,2017-03-07T22:42:04Z,user2,212582291,,,,,,,,76,closed,team2,added screenshots,2017-03-07T22:42:09Z
,,,2017-03-07T22:31:18Z,0,2017-03-07T22:23:08Z,user2,212577963,,,,,,,,75,closed,team2,fix incorrect voice-phrase crash,2017-03-07T22:31:18Z
,,,2017-03-07T22:15:54Z,0,2017-03-07T22:02:18Z,user2,212572922,,,,,,,,74,closed,team2,Kg,2017-03-07T22:15:54Z
,,,2017-03-07T20:07:24Z,0,2017-03-07T19:58:56Z,user2,212541785,,,,,,,,73,closed,team2,Kg,2017-03-07T20:07:24Z
,,,2017-03-07T19:03:24Z,0,2017-03-07T18:55:35Z,user2,212525608,,,,,,,,72,closed,team2,Kg,2017-03-07T19:03:24Z
user1,['user1'],"When a tag is created, Travis can build and deploy apk file to our [releases](https://github.com/SE17GroupH/Zap/releases).",2017-03-08T02:37:48Z,1,2017-03-05T20:27:39Z,user1,211980860,"[u'enhancement', u'lowpriority']",,,,,,,71,closed,team2,Release Deployment with Travis,2017-03-08T02:37:48Z
user1,['user1'],,2017-03-05T20:23:11Z,0,2017-03-05T20:15:53Z,user1,211979970,,,,,,,,70,closed,team2,Store and use API keys from travis,2017-03-05T20:23:11Z
user1,['user1'],"- store them as environment variable
- encrypt using travis gem and in config file",2017-03-05T20:18:34Z,1,2017-03-05T17:14:27Z,user1,211967410,[u'mediumpriority'],,,,,,,69,closed,team2,Store api keys in travis,2017-03-05T20:18:42Z
,,,2017-03-05T16:46:38Z,0,2017-03-05T16:46:18Z,user1,211965509,,,,,,,,68,closed,team2,Fix travis build config,2017-03-05T16:46:38Z
,,,2017-03-05T06:37:22Z,0,2017-03-05T06:33:27Z,user1,211934378,,,,,,,,67,closed,team2,fix travis config ,2017-03-05T06:37:22Z
,,,2017-03-05T06:08:51Z,0,2017-03-05T06:08:08Z,user1,211933153,,,,,,,,66,closed,team2,"Fix bugs, optimize and add config",2017-03-05T06:08:52Z
user1,['user1'],"travisCI is a build automation tool, and free to use with a public repo. It would be pretty cool if we got the tests automated with every commit. 

Resources:
- https://travis-ci.org
- https://travis-ci.org/getting_started
- https://docs.travis-ci.com/user/getting-started/",2017-03-05T17:06:08Z,11,2017-03-04T19:43:35Z,user1,211902226,"[u'enhancement', u'mediumpriority']",,,,,,,65,closed,team2,Intergrating with travisCI,2017-03-05T17:06:08Z
,,"So apparently there's a better way we can store the api keys in gradle.properties. Since it's specific to the project and ignored by git, it can be a convenient place. 

References
- https://stackoverflow.com/questions/31743594/android-excluding-an-api-key-from-github-where-to-store-the-api-key-in-code
- https://technobells.com/best-way-to-store-your-api-keys-for-your-android-studio-project-e4b5e8bb7d23#.h7r5lmkyq",2017-03-05T17:14:41Z,0,2017-03-04T16:49:42Z,user1,211891082,"[u'enhancement', u'lowpriority']",,,,,,,64,closed,team2,Store api keys in gradle,2017-03-05T17:14:41Z
,,"looking like much is done, and doing. 

looking forward to seeing what parts of this run, at the demos after the spring break",2017-03-04T19:02:45Z,0,2017-03-01T14:51:00Z,timm,211103348,[u'feedback'],,,,,,,63,closed,team2,thanks for the feb report,2017-04-19T02:37:44Z
,,"tue - report - 3 pages describing each method - 1 file
thurs - midterm syllabus upto case study: the power of architectures
13,14,15 - demo day review - show to TA
write unit tests",2017-03-01T15:02:18Z,1,2017-02-24T02:06:40Z,user1,209940083,[u'requirement'],,,,,,,62,closed,team2,schedule,2017-04-19T02:38:21Z
user1,"['user1', 'user3', 'user2']",,2017-03-08T18:47:03Z,6,2017-02-23T21:59:24Z,user2,209897103,[u'urgent'],,,,,,,61,closed,team2,Testing,2017-03-08T18:47:03Z
user1,['user1'],App continues when profile is not created. Which leads to wrong enrollment.,2017-03-09T04:00:38Z,1,2017-02-23T21:37:39Z,user1,209891698,"[u'bug', u'mediumpriority', u'VoiceDNA']",,2017-03-08T18:40:37Z,2017-03-20T07:00:00Z,2372491.0,8.0,2017-04-13T20:15:09Z,60,closed,team2,Profile id in speaker enrollment,2017-03-09T04:00:38Z
user1,['user1'],App crashes when speaking wrong phrase in speaker enrollment. ,2017-03-07T22:23:35Z,1,2017-02-23T21:35:49Z,user1,209891264,"[u'bug', u'urgent']",2017-03-15T17:54:08Z,2017-02-18T17:08:20Z,2017-03-14T07:00:00Z,2332067.0,7.0,2017-03-15T17:54:08Z,59,closed,team2,Crash in voice enrollment,2017-03-07T22:23:35Z
,,,2017-02-23T19:51:04Z,0,2017-02-23T19:50:59Z,user2,209865150,,,,,,,,58,closed,team2,seperated register API call from main thread,2017-02-23T19:51:04Z
,,,2017-02-23T19:38:23Z,0,2017-02-23T19:38:17Z,user2,209862124,,,,,,,,57,closed,team2,seperated magic-link email call from main thread,2017-02-23T19:38:23Z
,,,2017-02-23T19:12:52Z,0,2017-02-23T19:12:47Z,user2,209855520,,,,,,,,56,closed,team2,default login in background thread,2017-02-23T19:12:52Z
,,,2017-02-23T18:52:18Z,0,2017-02-23T18:52:12Z,user2,209850384,,,,,,,,55,closed,team2,minor changes,2017-02-23T18:52:18Z
,,Fixed the network on main thread. Put the API call on a background thread.,2017-02-21T21:53:18Z,0,2017-02-21T21:53:13Z,user2,209284238,,,,,,,,54,closed,team2,put magic-link login API call on background thread,2017-02-21T21:53:18Z
,,,2017-02-21T03:14:53Z,0,2017-02-21T03:14:47Z,user2,209031313,,,,,,,,53,closed,team2,minor changes,2017-02-21T03:14:53Z
,,,2017-02-21T02:42:42Z,0,2017-02-21T02:42:36Z,user2,209027310,,,,,,,,52,closed,team2,Kg,2017-02-21T02:42:42Z
,,,2017-02-21T02:08:12Z,0,2017-02-21T02:08:06Z,user2,209023161,,,,,,,,51,closed,team2,Kg,2017-02-21T02:08:12Z
user1,"['user1', 'user2']","These are some conditions when the app crashes:
- [ ]  When fingerprint hardware is not present and fingerprint auth is opened.
- [x] When the storage and/or audio record permission are not given at voice auth.
",2017-04-13T20:15:09Z,5,2017-02-20T07:19:22Z,user1,208801504,"[u'bug', u'mediumpriority']",,2017-03-08T18:40:37Z,2017-03-20T07:00:00Z,2372491.0,8.0,2017-04-13T20:15:09Z,50,closed,team2,Fingerprint App crash,2017-04-13T20:15:09Z
user1,['user1'],Implement Voice Authentication/ Speaker Recognition functionality,2017-02-18T21:59:09Z,0,2017-02-18T21:59:01Z,user1,208674657,,,,,,,,49,closed,team2,Sid,2017-02-18T21:59:09Z
user1,['user1'],,2017-03-07T23:01:47Z,3,2017-02-18T21:57:09Z,user1,208674556,"[u'enhancement', u'lowpriority']",2017-03-08T18:41:27Z,2017-02-08T16:27:45Z,2017-03-31T07:00:00Z,2309836.0,6.0,2017-03-08T18:45:30Z,48,closed,team2,Add phrases and proper instructions for voice enrollment,2017-03-07T23:01:47Z
user1,"['user1', 'user2']","Currently all the processing is done when a button is pressed, which leads to hang the app, and skip frames. Sometimes you are not logged in from the heavy login activity due to the skipped frame. This also affects voice login operations. 

Potential solutions:
- https://developer.android.com/reference/android/os/AsyncTask.html  
- https://stackoverflow.com/questions/14678593/the-application-may-be-doing-too-much-work-on-its-main-thread#21126690

Todo:

- [x] Login api call 
- [x] Magic link api call
- [x] Register api call
- [x] Voice enroll api call
- [x] Voice verify api call",2017-02-23T20:21:27Z,2,2017-02-18T19:28:37Z,user1,208664751,"[u'bug', u'mediumpriority', u'UI']",2017-03-08T18:41:27Z,2017-02-08T16:27:45Z,2017-03-31T07:00:00Z,2309836.0,6.0,2017-03-08T18:45:30Z,47,closed,team2,Separate heavy operations from UI,2017-02-23T20:21:27Z
user1,"['user1', 'user3', 'user2']","For voice login, every user has to create a new profile with the Microsoft API. Every time the app is freshly installed we create a new voice login profile. Currently we can create only 1000 profiles. I was thinking of storing the profile id associated with each email address on the server.  

Share your thoughts, and how easy is it to implement.",2017-02-20T17:40:55Z,11,2017-02-18T19:23:39Z,user1,208664335,"[u'enhancement', u'lowpriority', u'question']",2017-02-20T17:42:31Z,2017-02-08T16:27:18Z,2017-02-19T08:00:00Z,2309833.0,4.0,2017-02-20T17:42:31Z,46,closed,team2,Storing user data on server,2017-02-20T17:40:55Z
user1,['user1'],"- if the user is not registered
    - call the profile creation api
    - call the enrollment api with profile id and register the user with 3 voice samples 
- if verified
    - call verification api with profile id and voice sample",2017-02-18T18:31:58Z,2,2017-02-18T15:39:32Z,user1,208648958,"[u'urgent', u'VoiceDNA']",2017-02-20T17:42:31Z,2017-02-08T16:27:18Z,2017-02-19T08:00:00Z,2309833.0,4.0,2017-02-20T17:42:31Z,45,closed,team2,Implement voice api calls,2017-02-18T18:31:58Z
user1,"['user1', 'user2']","Currently the back button takes you to the previous activity - we don't want that. We wan't to restrict activity - when he has logged out, when he presses back button on profile page - should automatically get logged out.  ",2017-03-09T02:19:12Z,2,2017-02-18T15:36:23Z,user1,208648748,"[u'bug', u'mediumpriority']",,2017-03-08T18:40:37Z,2017-03-20T07:00:00Z,2372491.0,8.0,2017-04-13T20:15:09Z,44,closed,team2,Restrict back button access,2017-03-09T02:19:12Z
,,Prepare for Speaker Recognition Implementation. Bunch of small changes.,2017-02-18T00:24:31Z,0,2017-02-18T00:24:24Z,user1,208592113,,,,,,,,43,closed,team2,Sid,2017-02-18T00:24:31Z
,,,2017-02-18T00:14:51Z,0,2017-02-18T00:14:46Z,user2,208590962,,,,,,,,42,closed,team2,added voice recording for enrollment and verification,2017-02-18T00:14:51Z
,,,2017-02-17T23:09:01Z,0,2017-02-17T23:08:49Z,user2,208581943,,,,,,,,41,closed,team2,added voice recording,2017-02-17T23:09:01Z
,,Magic link linking added,2017-02-17T21:46:14Z,0,2017-02-17T21:46:02Z,user2,208566108,,,,,,,,40,closed,team2,Kg,2017-02-17T21:46:14Z
,,"Implement logout api call. Save email, password at login. Improve validation at registration.",2017-02-17T05:02:01Z,0,2017-02-17T05:01:55Z,user1,208337173,,,,,,,,39,closed,team2,Improve a bunch of things,2017-02-17T05:02:01Z
user1,['user1'],,2017-03-07T23:01:20Z,0,2017-02-17T04:28:41Z,user1,208332723,"[u'enhancement', u'lowpriority']",2017-03-08T18:41:27Z,2017-02-08T16:27:45Z,2017-03-31T07:00:00Z,2309836.0,6.0,2017-03-08T18:45:30Z,38,closed,team2,Optimize the app to run faster,2017-03-07T23:01:20Z
user1,['user1'],Currently have a pretty barebones UI. Make it prettier.,2017-03-07T23:01:04Z,3,2017-02-17T04:28:35Z,user1,208332712,"[u'enhancement', u'lowpriority', u'UI']",2017-03-08T18:41:27Z,2017-02-08T16:27:45Z,2017-03-31T07:00:00Z,2309836.0,6.0,2017-03-08T18:45:30Z,37,closed,team2,Make the App UI prettier,2017-03-07T23:01:04Z
user1,['user1'],,2017-02-20T17:48:22Z,2,2017-02-17T04:27:03Z,user1,208332491,[u'urgent'],2017-02-20T17:48:28Z,2017-02-08T16:27:33Z,2017-02-19T08:00:00Z,2309835.0,5.0,2017-02-20T17:48:28Z,36,closed,team2,Implement magic link api call,2017-02-20T17:48:22Z
user1,['user1'],,2017-02-17T14:19:51Z,1,2017-02-17T04:26:59Z,user1,208332481,[u'urgent'],2017-02-20T17:48:28Z,2017-02-08T16:27:33Z,2017-02-19T08:00:00Z,2309835.0,5.0,2017-02-20T17:48:28Z,35,closed,team2,Implement email verification at registration,2017-02-17T14:19:51Z
user1,['user1'],,2017-02-18T19:29:36Z,1,2017-02-17T04:26:53Z,user1,208332466,"[u'UI', u'urgent']",2017-02-20T17:48:30Z,2017-02-08T16:26:56Z,2017-02-19T08:00:00Z,2309831.0,3.0,2017-02-20T17:48:30Z,34,closed,team2,Accept email in fingerprint activity,2017-02-18T19:29:36Z
user1,['user1'],,2017-02-19T17:07:47Z,1,2017-02-17T04:26:49Z,user1,208332458,[u'urgent'],2017-02-20T17:48:30Z,2017-02-08T16:26:56Z,2017-02-19T08:00:00Z,2309831.0,3.0,2017-02-20T17:48:30Z,33,closed,team2,Implement fingerprint backend api call to server,2017-02-19T17:07:47Z
,,Merge major changes to app in master branch. See commits for changes.,2017-02-16T23:09:43Z,0,2017-02-16T23:09:31Z,user1,208278000,,,,,,,,32,closed,team2,Add Registration and Logging plus Fingerprint auth enhancements.,2017-02-16T23:09:43Z
user1,['user1'],,2017-02-16T19:44:51Z,1,2017-02-16T19:00:57Z,user1,208214389,[u'requirement'],2017-02-20T17:48:30Z,2017-02-08T16:26:56Z,2017-02-19T08:00:00Z,2309831.0,3.0,2017-02-20T17:48:30Z,31,closed,team2,Redirect from Fingerprint to Profile page,2017-04-19T02:38:34Z
user1,['user1'],Possibly using GSON library: https://github.com/google/gson,2017-02-16T18:07:25Z,1,2017-02-16T16:15:05Z,user1,208168843,[u'requirement'],,,,,,,30,closed,team2,Parse JSON from API calls,2017-04-19T02:38:41Z
user1,['user1'],,2017-02-17T04:20:07Z,1,2017-02-16T16:15:00Z,user1,208168821,[u'requirement'],2017-02-20T17:48:28Z,2017-02-08T16:27:33Z,2017-02-19T08:00:00Z,2309835.0,5.0,2017-02-20T17:48:28Z,29,closed,team2,Implement Logout call,2017-04-19T02:38:48Z
user1,['user1'],"Primitive values can be saved inside the app using SharedPreferences Key:value pairs in Android.
Things to store:
- Boolean loggedin - True/False
- String auth_token - value ",2017-02-17T04:23:56Z,1,2017-02-16T16:14:54Z,user1,208168783,[u'requirement'],2017-02-20T17:48:30Z,2017-02-08T16:26:56Z,2017-02-19T08:00:00Z,2309831.0,3.0,2017-02-20T17:48:30Z,28,closed,team2,Remember state. Save auth token inside app.,2017-04-19T02:38:54Z
